course_code,last_period_gathered,last_period_failed,relevant_periods,last_scrape_during_grace_period,created_at,updated_at
AS.001.171,SU25,false,"[""AS.001.171.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.172,SU25,false,"[""AS.001.172.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.173,SU25,false,"[""AS.001.173.01.FA22"",""AS.001.173.01.FA23"",""AS.001.173.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.174,SU25,false,"[""AS.001.174.01.FA23"",""AS.001.174.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.175,SU25,false,"[""AS.001.175.01.FA23"",""AS.001.175.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.176,SU25,false,"[""AS.001.176.01.FA22"",""AS.001.176.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.177,SU25,false,"[""AS.001.177.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.178,SU25,false,"[""AS.001.178.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.179,SU25,false,"[""AS.001.179.01.FA22"",""AS.001.179.01.FA23"",""AS.001.179.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.180,SU25,false,"[""AS.001.180.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.181,SU25,false,"[""AS.001.181.01.FA22"",""AS.001.181.01.FA23"",""AS.001.181.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.182,SU25,false,"[""AS.001.182.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.183,SU25,false,"[""AS.001.183.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.184,SU25,false,"[""AS.001.184.01.FA22"",""AS.001.184.01.FA23"",""AS.001.184.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.185,SU25,false,"[""AS.001.185.01.FA22"",""AS.001.185.01.FA23"",""AS.001.185.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.186,SU25,false,"[""AS.001.186.01.FA22"",""AS.001.186.01.FA23"",""AS.001.186.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.187,SU25,false,"[""AS.001.187.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.188,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.189,SU25,false,"[""AS.001.189.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.190,SU25,false,"[""AS.001.190.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.191,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.192,SU25,false,"[""AS.001.192.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.193,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.194,SU25,false,"[""AS.001.194.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.195,SU25,false,"[""AS.001.195.01.FA23"",""AS.001.195.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.196,SU25,false,"[""AS.001.196.01.FA23"",""AS.001.196.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.197,SU25,false,"[""AS.001.197.01.FA23"",""AS.001.197.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.198,SU25,false,"[""AS.001.198.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.199,SU25,false,"[""AS.001.199.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.200,SU25,false,"[""AS.001.200.01.FA23"",""AS.001.200.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.201,SU25,false,"[""AS.001.201.01.FA23"",""AS.001.201.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.202,SU25,false,"[""AS.001.202.01.FA23"",""AS.001.202.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.203,SU25,false,"[""AS.001.203.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.204,SU25,false,"[""AS.001.204.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.205,SU25,false,"[""AS.001.205.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.206,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.207,SU25,false,"[""AS.001.207.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.208,SU25,false,"[""AS.001.208.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
